,date,search_count
0,2021-11-16,0
1,2021-11-17,0
2,2021-11-18,0
3,2021-11-19,100
4,2021-11-20,0
5,2021-11-21,0
6,2021-11-22,0
7,2021-11-23,0
8,2021-11-24,0
9,2021-11-25,66
10,2021-11-26,100
11,2021-11-27,0
12,2021-11-28,0
13,2021-11-29,0
14,2021-11-30,0
15,2021-12-01,288
16,2021-12-02,0
17,2021-12-03,59
18,2021-12-04,87
19,2021-12-05,0
20,2021-12-06,76
21,2021-12-07,67
22,2021-12-08,133
23,2021-12-09,28
24,2021-12-10,45
25,2021-12-11,0
26,2021-12-12,31
27,2021-12-13,432
28,2021-12-14,522
29,2021-12-15,331
30,2021-12-16,113
31,2021-12-17,132
32,2021-12-18,173
33,2021-12-19,253
34,2021-12-20,121
35,2021-12-21,50
36,2021-12-22,143
37,2021-12-23,0
38,2021-12-24,156
39,2021-12-25,73
40,2021-12-26,311
41,2021-12-27,158
42,2021-12-28,0
43,2021-12-29,54
44,2021-12-30,54
45,2021-12-31,0
46,2022-01-01,289
47,2022-01-02,396
48,2022-01-03,82
49,2022-01-04,165
50,2022-01-05,54
51,2022-01-06,53
52,2022-01-07,55
53,2022-01-08,84
54,2022-01-09,162
55,2022-01-10,0
56,2022-01-11,0
57,2022-01-12,0
58,2022-01-13,172
59,2022-01-14,0
60,2022-01-15,72
61,2022-01-16,81
62,2022-01-17,83
63,2022-01-18,0
64,2022-01-19,87
65,2022-01-20,48
66,2022-01-21,0
67,2022-01-22,82
68,2022-01-23,260
69,2022-01-24,0
70,2022-01-25,145
71,2022-01-26,0
72,2022-01-27,0
73,2022-01-28,0
74,2022-01-29,100
75,2022-01-30,0
76,2022-01-31,90
77,2022-02-01,93
78,2022-02-02,0
79,2022-02-03,96
80,2022-02-04,100
81,2022-02-05,67
82,2022-02-06,0
83,2022-02-07,0
84,2022-02-08,884
85,2022-02-09,957
86,2022-02-10,595
87,2022-02-11,673
88,2022-02-12,597
89,2022-02-13,438
90,2022-02-14,465
91,2022-02-15,470
92,2022-02-16,0
