,screen_name,followers_count,slug
0,TheDogePoundNFT,193009,the-doge-pound
1,BoredApeYC,660538,boredapeyachtclub
2,doodles,231995,doodles-official
3,RTFKTstudios,288408,clonex
4,larvalabs,161334,cryptopunks
5,coolcatsnft,182066,cool-cats-nft
6,alienfrens,80884,alienfrensnft
7,capsule_house,26448,capsulehouse
8,nftworldsNFT,69532,nft-worlds
9,CoolmanUniverse,40897,coolmans-universe
10,thevcrgroup,2083,flyfish-club
11,CryptoMories,45220,cryptomories
12,worldofwomennft,115154,world-of-women-nft
13,Pudgy_Penguins,56112,pudgypenguins
14,wolfdotgame,53359,wolf-game-migrated
15,mypethooligan,70004,mypethooligan
16,apocalypticapes,27787,apocalyptic-apes
17,forgottenrunes,23662,forgottenruneswizardscult
18,AdamBombSquad,42683,adam-bomb-squad
19,grayboys,161,grayboys
20,veefriends,182431,veefriends
21,Deadfellaz,104807,deadfellaz
22,CyberKongz,153208,cyberkongz
23,FLUF_World,41819,fluf-world
24,LittlelemonsNFT,47885,little-lemon-friends
25,Noodles_NFT,11360,noodlesnft-official
26,SlimHoods,36455,slimhoods
27,cryptoadzNFT,41419,cryptoadz-by-gremplin
28,KaijuKingz,92102,kaiju-kingz
29,thelittlesnft,66246,thelittlesnft
30,kumoxworld,31494,kumo-x-world-residents
31,0xConsoles,10871,x-consoles-0xnft
32,LazyLionsNFT,83845,lazy-lions
33,ALPACADABRAZ,113323,alpacadabraz
